isCat,isDog,isFox,t,weight
1,0,0,9.345114567,13.10224155
0,1,0,8.42842539,14.5285074
0,0,1,6.532517029,11.69671865
1,0,0,7.419882651,11.5706958
0,1,0,6.484801445,12.10124803
0,0,1,9.703836934,12.04738869
1,0,0,9.956344415,8.832454179
0,1,0,9.867167828,14.22097593
0,0,1,9.477488959,16.49577243
1,0,0,6.922857062,9.866952806
0,1,0,7.700101649,13.58379539
0,0,1,8.500421236,13.52045785
1,0,0,6.913904557,11.012474
0,1,0,5.349593943,13.5848389
0,0,1,8.774395379,16.12324462
1,0,0,6.402522135,11.50324353
0,1,0,9.176622452,16.83939414
0,0,1,6.283926009,14.4876281
1,0,0,7.048719561,10.69944934
0,1,0,6.113078663,18.52806605
0,0,1,8.632384986,10.64326133
1,0,0,9.003469644,11.2113261
0,1,0,9.516793365,13.89429628
0,0,1,8.087429537,16.28928078
1,0,0,5.928347388,12.03053976
0,1,0,6.753721755,11.69547128
0,0,1,5.753339672,13.48875961
1,0,0,9.990581808,14.8741603
0,1,0,8.928122208,13.70812676
0,0,1,5.065984347,12.12434873
1,0,0,6.855098652,14.91961065
0,1,0,6.542621182,10.46504763
0,0,1,6.912660911,17.20594876
1,0,0,5.057830846,11.5434122
0,1,0,7.333369152,12.73107974
0,0,1,8.207934518,16.25477597
1,0,0,8.520751064,12.79536789
0,1,0,7.470788363,16.08401569
0,0,1,6.925195783,15.34428783
1,0,0,8.344721548,9.486952247
0,1,0,7.595134024,13.3720743
0,0,1,7.148611788,12.49124853
1,0,0,8.373610284,11.81085054
0,1,0,8.000982074,12.87779332
0,0,1,6.890796447,13.9274338
1,0,0,8.729674934,14.0436493
0,1,0,9.059186849,13.8920109
0,0,1,6.968376621,18.08948223
1,0,0,8.757216499,10.30496456
0,1,0,8.74094541,11.3295872
0,0,1,7.159675012,12.10566657
1,0,0,7.663441762,13.02986427
0,1,0,6.427556115,17.01042187
0,0,1,5.586992508,14.39106779
1,0,0,9.27333901,16.40159913
0,1,0,7.860305548,15.64165584
0,0,1,5.22837138,14.3917408
1,0,0,8.047909342,12.56527484
0,1,0,5.799155855,14.72232179
0,0,1,9.291487164,18.52743706
1,0,0,8.244661249,13.73796561
0,1,0,9.375960572,18.39619525
0,0,1,7.7211096,14.71640265
1,0,0,6.701419393,10.084812
0,1,0,6.294759336,14.8102199
0,0,1,8.912828873,18.24261247
1,0,0,6.066224765,10.29228083
0,1,0,6.460326198,17.54138103
0,0,1,5.51848054,16.95245796
1,0,0,8.954438281,11.51631849
0,1,0,8.252855761,11.99842052
0,0,1,7.913092388,17.02134629
1,0,0,6.751265887,13.55738048
0,1,0,9.222457994,15.42279814
0,0,1,6.835652292,18.8072311
1,0,0,6.110477951,9.914457364
0,1,0,6.920303316,13.76395151
0,0,1,6.65799809,17.70356157
1,0,0,9.740856732,13.8976976
0,1,0,6.901615937,14.23880329
0,0,1,6.533377745,18.53104985
1,0,0,9.822925812,15.88254146
0,1,0,6.675609821,16.1378628
0,0,1,8.926682218,19.79805823
1,0,0,7.676115307,11.44681947
0,1,0,8.429574211,13.9321816
0,0,1,8.330917671,16.1358423
1,0,0,7.827738941,8.987284233
0,1,0,5.358583719,15.28512818
0,0,1,5.31668576,15.26394902
1,0,0,7.767050153,11.25549176
0,1,0,9.649927718,15.86107433
0,0,1,7.285355413,9.687369297
1,0,0,7.419543443,11.84321249
0,1,0,6.253260634,9.0550179
0,0,1,9.868539161,17.3224904
1,0,0,6.882988839,13.08187944
0,1,0,7.082420943,11.35831623
0,0,1,5.118745084,19.61285399
1,0,0,8.192799432,11.03592552
0,1,0,6.90980151,11.64884562
0,0,1,5.759044157,13.72482371
1,0,0,8.052059896,9.890448121
0,1,0,5.773400567,13.612885
0,0,1,7.626318823,12.92176111
1,0,0,7.8633932,11.562703
0,1,0,6.024551003,14.98681884
0,0,1,8.443655579,13.1204492
1,0,0,8.800078061,12.77418555
0,1,0,5.323190795,9.889982354
0,0,1,8.204866514,20.6995446
1,0,0,5.186451544,12.1643128
0,1,0,6.6759778,15.93969372
0,0,1,8.399059178,18.22394743
1,0,0,6.360614303,13.62653606
0,1,0,9.886419587,13.27852603
0,0,1,7.754715954,19.23725175
1,0,0,9.667638947,10.83340834
0,1,0,8.004577313,14.63549449
0,0,1,9.181165977,18.46540431
1,0,0,6.273851349,11.79151906
0,1,0,5.8057026,9.834157975
0,0,1,5.98091566,18.38120258
1,0,0,8.195526234,10.59498165
0,1,0,6.301906592,13.13286387
0,0,1,7.712969194,16.64537277
1,0,0,9.080987666,12.38434167
0,1,0,8.839451867,15.13008241
0,0,1,9.857106675,13.13729753
1,0,0,6.349239261,10.39153404
0,1,0,5.676305949,12.9115546
0,0,1,5.661364683,13.3956051
1,0,0,5.874964355,12.31255072
0,1,0,7.512912149,15.69492253
0,0,1,6.730616453,13.37649017
1,0,0,6.690755082,13.80060694
0,1,0,5.770425284,13.09534462
0,0,1,9.559994441,16.91074085
1,0,0,5.864319544,9.987168661
0,1,0,8.337283942,12.60268835
0,0,1,8.511832139,14.49899758
1,0,0,5.509287576,11.0633068
0,1,0,7.064988663,13.30173347
0,0,1,6.437818975,16.09980411
1,0,0,9.253420274,12.77791473
0,1,0,8.724566372,15.71758201
0,0,1,7.257431703,14.14615085
1,0,0,7.216945569,9.833403373
0,1,0,5.509817361,13.93162346
0,0,1,8.393891451,16.05092999
1,0,0,6.495819515,15.55405072
0,1,0,9.121992302,14.68300311
0,0,1,9.260448587,18.62719899
1,0,0,5.784251925,8.387940179
0,1,0,9.501399031,10.18269545
0,0,1,5.895457029,12.67060693
1,0,0,6.750663184,8.953297718
0,1,0,5.328226122,14.18688505
0,0,1,8.86449394,20.58498332
1,0,0,8.781099294,12.41781797
0,1,0,8.886048074,14.0054887
0,0,1,7.803102774,10.61066653
1,0,0,6.176674249,13.11555938
0,1,0,9.595642597,18.21767781
0,0,1,9.996610463,16.88076284
1,0,0,8.954152803,11.36687536
0,1,0,8.860568115,14.93864978
0,0,1,5.43669296,13.79440244
1,0,0,6.085352899,11.26011443
0,1,0,9.863798379,11.86774324
0,0,1,9.180522587,17.90264898
1,0,0,5.937498914,11.22972195
0,1,0,5.705689811,11.7367621
0,0,1,7.278021105,16.28081262
1,0,0,9.763628127,10.35558082
0,1,0,7.372361613,13.08218602
0,0,1,9.434735264,16.45068708
1,0,0,8.754978959,10.58746738
