Animal,t,weight
Cat,7.817739629,12.32626214
Dog,8.614158169,12.2860674
Fox,6.569555194,14.84562613
Cat,6.128480719,8.623934279
Dog,9.815183109,15.41057136
Fox,5.980434381,14.59082587
Cat,5.485307306,8.621627943
Dog,7.845490911,12.32340626
Fox,5.412722258,15.58095656
Cat,5.764117519,13.68914202
Dog,5.367741144,15.53488981
Fox,6.150923733,12.9290459
Cat,5.712238528,11.56015993
Dog,7.380059948,11.29119384
Fox,5.344344568,15.28444103
Cat,7.44665103,11.35978012
Dog,7.869796877,13.96230201
Fox,7.71678981,20.55593573
Cat,7.535057014,7.209665951
Dog,7.588297582,9.779950234
Fox,6.863336634,17.2777743
Cat,5.827691652,18.41033352
Dog,9.973012295,17.63586449
Fox,9.49343436,16.28346326
Cat,6.34786042,9.529569374
Dog,6.936283465,16.03982444
Fox,7.31132727,14.92127953
Cat,6.820773094,8.637238471
Dog,7.658614771,18.48505018
Fox,5.580876624,18.0334577
Cat,8.302233611,7.285718403
Dog,7.322596604,13.84485574
Fox,5.797312153,16.38858302
Cat,8.77048677,13.10396552
Dog,6.221478626,15.48605352
Fox,5.885687551,15.14578511
Cat,7.961309006,12.14266331
Dog,8.650250751,18.50125159
Fox,6.565234632,20.19019171
Cat,9.121698759,14.21229219
Dog,9.076007154,14.88641029
Fox,9.748384221,14.06474629
Cat,6.170374294,13.50961684
Dog,6.180408611,13.67205366
Fox,7.65232218,20.48659838
Cat,9.798679205,14.44380653
Dog,8.052510772,12.56220185
Fox,8.313036921,10.77128195
Cat,8.776126942,13.15311235
Dog,6.529711337,12.44723033
Fox,8.437662064,16.39301423
Cat,7.413132615,14.59129151
Dog,9.235893058,13.62701878
Fox,9.666477518,15.55243327
Cat,9.387009857,9.120752083
Dog,9.920379445,13.99156688
Fox,9.31832686,14.27396419
Cat,9.790949015,12.92298048
Dog,7.642779834,12.31273238
Fox,8.109194879,16.14662853
Cat,8.468748995,12.61541404
Dog,8.430728445,10.07607403
Fox,7.323862569,11.18972552
Cat,5.06229164,10.67567322
Dog,6.548929142,12.46165175
Fox,9.251768484,22.19715738
Cat,5.667460606,10.8434626
Dog,8.44807616,18.76101112
Fox,8.167019699,14.35249948
Cat,6.485280279,11.42063057
Dog,7.482836406,9.652196437
Fox,7.102144932,17.88192252
Cat,8.711023859,10.73058103
Dog,9.864209753,17.46815856
Fox,6.375450325,16.80187525
Cat,8.677440584,10.92739484
Dog,7.736093801,13.55755284
Fox,6.52009044,11.96723088
Cat,8.191111682,7.074388121
Dog,7.927161099,11.47559251
Fox,7.037805802,13.14369963
Cat,8.552851581,11.16121202
Dog,8.725294144,14.20547452
Fox,5.183305902,19.98476426
Cat,6.023661939,8.175510215
Dog,9.231641264,11.74418132
Fox,9.197802165,21.34116321
Cat,6.008723547,8.978969948
Dog,7.385067589,15.29257504
Fox,7.718582813,15.55140288
Cat,8.526591201,15.25993174
Dog,7.026438586,16.20252588
Fox,7.286060216,10.68133607
Cat,5.676068229,8.616880868
Dog,5.58122017,15.62606048
Fox,8.639945128,14.47666771
Cat,9.365381204,10.71762101
Dog,5.81885889,12.85881797
Fox,5.637722927,16.88314347
Cat,7.821513949,6.989642804
Dog,6.012019146,12.10940375
Fox,7.071093167,12.72598766
Cat,6.643955013,8.713365788
Dog,6.380888461,10.44757896
Fox,6.543233047,16.32122866
Cat,7.454283805,8.761609575
Dog,5.272528082,13.16814096
Fox,7.016810504,18.58209426
Cat,6.935637922,10.65663019
Dog,5.86412712,14.14186177
Fox,6.785865604,15.39277558
Cat,9.221283252,11.37973789
Dog,8.901740741,11.52412551
Fox,5.101531668,15.55025057
Cat,6.591499993,9.317311036
Dog,5.872119921,15.33214508
Fox,5.288280085,15.80128137
Cat,7.833027878,13.7694241
Dog,9.201276457,12.84930087
Fox,9.985095169,21.97341277
Cat,7.834120804,8.871360046
Dog,5.035278787,12.2054468
Fox,6.322932813,13.26496762
Cat,8.267307851,13.97790493
Dog,9.617091648,14.69253739
Fox,8.880900907,21.34640135
Cat,8.188843583,12.71858062
Dog,7.054630373,17.1852993
Fox,5.74197459,17.81055608
Cat,6.877137573,9.315088497
Dog,8.139201016,13.89106814
Fox,6.254226333,11.33034436
Cat,6.299546339,10.83577238
Dog,6.240018574,9.077337538
Fox,7.207337281,16.99287334
Cat,7.69614779,14.38764506
Dog,7.669615677,18.04928966
Fox,7.808191491,23.00249873
Cat,8.97721738,7.233865257
Dog,8.568249826,7.06396891
Fox,9.025987579,20.52624183
Cat,9.995669128,15.6141765
Dog,5.372177515,14.08605175
Fox,6.154910567,17.03891278
Cat,7.057881409,8.446056733
Dog,6.316765195,16.27010557
Fox,9.708496477,22.25759987
Cat,9.448233605,8.585809811
Dog,8.57991129,10.61177157
Fox,6.815894145,18.80075307
Cat,6.505359756,8.084826636
Dog,7.825261182,11.88356264
Fox,7.473563704,12.44842635
Cat,9.35670372,14.03657025
Dog,9.736965502,18.91794216
Fox,6.148337956,16.0975864
Cat,5.323696185,8.435581708
Dog,6.625652764,11.94224356
Fox,6.094540719,16.63730853
Cat,8.033550351,16.27015368
Dog,7.096877973,12.36644249
Fox,7.384591629,14.06125021
Cat,7.552424801,12.37868818
Dog,7.604202937,9.675597663
Fox,7.560703497,14.4171377
Cat,7.675833551,8.476406296
Dog,5.272371351,12.87443193
Fox,5.710467089,13.90010097
Cat,7.641033528,8.303386587
Dog,5.192266903,12.29748554
Fox,6.290626002,15.80738832
Cat,8.814072675,14.42381586
Dog,8.615501476,19.82680831
Fox,7.682380912,19.64081743
Cat,5.710155349,10.81711797
Dog,9.813333029,15.41942055
Fox,9.090167029,17.36969936
Cat,6.207529247,10.52255238
Dog,6.685565479,12.84349979
Fox,6.710676328,15.36177145
Cat,9.916897841,17.62495285
Dog,8.204514981,9.655607623
Fox,6.882258134,14.82153746
Cat,6.722231529,12.08065646
Dog,5.204061864,11.85798557
Fox,7.246470731,16.808801
Cat,6.79050636,9.171012743
Dog,7.772960829,14.66883115
Fox,6.522370689,13.91911768
Cat,9.326191399,16.44467885
Dog,7.97683076,13.50774729
Fox,8.780560931,15.81354229
Cat,9.908618324,9.578384928
Dog,5.430818026,16.22135919
Fox,9.645102521,17.91934551
Cat,8.585854776,10.22690417
Dog,6.803822218,10.96528762
Fox,5.573477217,13.70865236
Cat,9.598856049,14.61758797
Dog,5.789437352,13.73269987
Fox,7.311256724,11.58410192
Cat,7.65151731,10.1093596
Dog,5.910399237,18.10896893
Fox,6.11909123,17.31971865
Cat,5.649507704,9.846826695
Dog,7.496957711,14.60664389
Fox,9.266141114,19.45506433
Cat,9.473593283,12.16360136
Dog,7.352877078,11.92525267
Fox,6.013269969,12.12171359
Cat,5.393974506,10.2679582
Dog,9.770295329,14.23663111
Fox,9.592122475,18.96058716
Cat,7.734995652,11.99879454
Dog,5.57171609,9.977102266
Fox,8.83094431,15.52970911
Cat,6.611001142,11.26379925
Dog,7.631727405,15.38222572
Fox,5.608177573,13.67555649
Cat,6.001580066,7.711218754
Dog,7.834373958,20.13398618
Fox,5.712802986,14.51179754
Cat,8.891172039,12.1778593
Dog,5.968795387,9.769951246
Fox,9.175676105,18.32254989
Cat,7.838069606,11.10256129
Dog,6.48137787,10.86691972
Fox,6.853019238,19.12186665
Cat,9.870273695,14.74165888
Dog,8.841715341,17.9755212
Fox,6.03518296,12.47286378
Cat,9.660017341,12.92489246
