isCat,isDog,isWerewolf,isDark,t,weight
1,0,0,1,6.976813592,2.933206492
0,1,0,1,8.874470216,15.79246964
0,0,1,1,7.252136257,24.76053044
1,0,0,0,9.914968426,7.166390774
0,1,0,0,5.829510765,12.12412887
0,0,1,0,5.445896054,11.87938746
1,0,0,1,9.748135925,6.027832784
0,1,0,1,5.745376999,11.14869361
0,0,1,1,7.812850765,18.2532032
1,0,0,0,5.046665618,7.250050928
0,1,0,0,9.567274004,14.26612323
0,0,1,0,5.618099401,19.45075726
1,0,0,1,6.247847499,4.094874361
0,1,0,1,7.678379936,13.95225746
0,0,1,1,5.320124794,19.02713204
1,0,0,0,5.124293966,7.945028836
0,1,0,0,5.762895863,12.42548412
0,0,1,0,5.689238073,17.33708825
1,0,0,1,5.008062432,4.823020763
0,1,0,1,7.367839997,11.49444457
0,0,1,1,6.249318139,16.70576667
1,0,0,0,5.199047441,7.124258363
0,1,0,0,9.149367992,15.72570819
0,0,1,0,8.311191008,18.10683199
1,0,0,1,7.015144068,5.527496239
0,1,0,1,7.402143013,16.06005462
0,0,1,1,8.446003667,23.75954811
1,0,0,0,8.341567683,4.532963054
0,1,0,0,7.859629409,16.82421214
0,0,1,0,5.727946055,18.76945795
1,0,0,1,6.302164615,6.621215292
0,1,0,1,5.9880726,12.95074728
0,0,1,1,7.163974566,20.08367501
1,0,0,0,9.057261731,5.511818783
0,1,0,0,8.56712794,9.847335307
0,0,1,0,5.048956546,11.79303008
1,0,0,1,7.084120344,6.671744638
0,1,0,1,7.048014855,15.04781777
0,0,1,1,6.530033058,18.95213144
1,0,0,0,7.701643205,5.663469964
0,1,0,0,6.616049698,13.79784736
0,0,1,0,5.755684063,14.43068368
1,0,0,1,5.536404701,6.59260451
0,1,0,1,6.490699965,16.75665641
0,0,1,1,6.318141453,18.97856404
1,0,0,0,9.505624333,7.783554637
0,1,0,0,6.269550639,12.47177162
0,0,1,0,5.21353601,10.81908673
1,0,0,1,6.362660779,7.827431061
0,1,0,1,9.361918002,13.67837227
0,0,1,1,7.203760316,24.56981802
1,0,0,0,9.557563326,6.033547958
0,1,0,0,7.659640565,13.02624203
0,0,1,0,7.513919594,14.55872571
1,0,0,1,7.981575728,6.01184918
0,1,0,1,8.71110449,14.48818178
0,0,1,1,8.818828694,20.28407086
1,0,0,0,9.220536731,5.183999962
0,1,0,0,9.871493973,16.65100821
0,0,1,0,8.544081589,13.78433154
1,0,0,1,8.657355874,6.548074593
0,1,0,1,7.005782679,14.97761967
0,0,1,1,9.569084398,25.42520089
1,0,0,0,8.699466832,8.419157883
0,1,0,0,7.889124805,18.32106255
0,0,1,0,7.623234243,20.9049946
1,0,0,1,5.675933036,6.064079693
0,1,0,1,5.933690203,10.28559705
0,0,1,1,8.490327812,21.94751712
1,0,0,0,7.357434626,9.070400372
0,1,0,0,9.254018016,13.36083328
0,0,1,0,5.315224183,20.02010623
1,0,0,1,6.857336646,7.861202366
0,1,0,1,8.809934395,15.65740914
0,0,1,1,5.843961317,18.60162
1,0,0,0,6.924771806,7.282760573
0,1,0,0,7.781236935,14.53410042
0,0,1,0,7.957597536,16.78718372
1,0,0,1,8.594271024,5.925373202
0,1,0,1,5.868864988,13.66709805
0,0,1,1,9.064577032,27.37940112
1,0,0,0,8.602768067,6.355844923
0,1,0,0,7.001133349,14.31570113
0,0,1,0,9.79875401,19.0801779
1,0,0,1,9.548597384,6.615833087
0,1,0,1,6.822530374,12.95612611
0,0,1,1,7.499289586,18.93619997
1,0,0,0,5.240006577,8.049841735
0,1,0,0,9.245422096,14.18732062
0,0,1,0,9.609893821,17.69980423
1,0,0,1,8.089552926,4.827022976
0,1,0,1,8.633852538,18.47451515
0,0,1,1,8.832125135,22.59789588
1,0,0,0,5.172175184,8.508173365
0,1,0,0,5.087987574,15.3377774
0,0,1,0,5.956093099,11.70008118
1,0,0,1,9.870578877,8.022437515
0,1,0,1,7.944121858,12.84607097
0,0,1,1,6.077331157,21.30415027
1,0,0,0,5.100149395,5.342485475
0,1,0,0,8.823412817,11.30121427
0,0,1,0,5.049421404,19.39752842
1,0,0,1,9.994683576,8.569057446
0,1,0,1,7.837072202,15.19360405
0,0,1,1,8.4901752,20.49439322
1,0,0,0,9.496214579,5.654387791
0,1,0,0,9.216609547,12.54443703
0,0,1,0,9.944110134,22.94341948
1,0,0,1,5.74010848,10.01948593
0,1,0,1,7.100759825,12.72932084
0,0,1,1,8.237335596,21.74630602
1,0,0,0,9.100463899,4.25629587
0,1,0,0,9.915508869,18.70697829
0,0,1,0,8.471180328,15.62273029
1,0,0,1,8.060140669,8.326682739
0,1,0,1,8.401206298,11.31383556
0,0,1,1,6.773551742,20.59590456
1,0,0,0,6.534323847,5.170365361
0,1,0,0,7.818206397,13.54346763
0,0,1,0,9.300998379,17.81971926
1,0,0,1,9.015790321,7.836069539
0,1,0,1,9.866897068,8.332481989
0,0,1,1,7.645930194,21.22223865
1,0,0,0,6.697757774,7.667770067
0,1,0,0,9.782875224,14.12527531
0,0,1,0,7.763770608,20.17059371
1,0,0,1,8.318810107,6.621703907
0,1,0,1,5.536696893,11.95641201
0,0,1,1,6.252138346,19.85656607
1,0,0,0,9.194344496,8.065101917
0,1,0,0,5.753985973,16.25167885
0,0,1,0,7.061820169,20.60699227
1,0,0,1,9.749612162,7.082920342
0,1,0,1,9.695019362,15.93508809
0,0,1,1,7.863729497,18.27694983
1,0,0,0,6.103489601,7.968678773
0,1,0,0,7.194953432,17.4468653
0,0,1,0,5.473973502,8.150726011
1,0,0,1,6.68811319,5.154614188
0,1,0,1,8.708529945,11.62288461
0,0,1,1,9.087068749,22.72921354
1,0,0,0,9.323520695,3.183467341
0,1,0,0,6.412425838,14.28557575
0,0,1,0,7.537851439,19.30721834
1,0,0,1,8.233351565,9.722607581
0,1,0,1,6.449417758,15.30173827
0,0,1,1,6.893367228,18.46818575
1,0,0,0,6.663358827,5.547673419
0,1,0,0,6.052444128,15.91671743
0,0,1,0,8.458188433,20.23309714
1,0,0,1,7.918522789,5.348233553
0,1,0,1,6.715655319,11.82568376
0,0,1,1,8.027002699,19.70836414
1,0,0,0,9.074811469,5.393300029
0,1,0,0,5.436905606,12.99365843
0,0,1,0,5.518071829,11.76964425
1,0,0,1,7.712673641,7.792704283
0,1,0,1,8.07243594,11.82660721
0,0,1,1,6.363157846,16.24841746
1,0,0,0,6.842724881,4.533550463
0,1,0,0,9.69770016,18.18770556
0,0,1,0,5.242540269,21.55103369
1,0,0,1,6.960249719,6.026833028
0,1,0,1,6.558288403,15.34022189
0,0,1,1,6.427725583,16.94355901
