isCat,isUnicorn,isWerewolf,isDark,t,weight
1,0,0,1,8.085025834,7.780470725
0,1,0,1,9.510545876,22.81791712
0,0,1,1,5.017713677,14.10907111
1,0,0,0,7.105495111,4.939081454
0,1,0,0,9.548665006,111.0594036
0,0,1,0,6.348022703,14.86896361
1,0,0,1,5.934531678,7.58074956
0,1,0,1,8.591105971,24.15262915
0,0,1,1,8.04947523,19.50224821
1,0,0,0,8.825415998,5.934387567
0,1,0,0,6.026917942,57.77589755
0,0,1,0,7.549271237,15.34724234
1,0,0,1,9.716641147,5.550083678
0,1,0,1,9.140385463,17.30096668
0,0,1,1,7.329194591,17.60325703
1,0,0,0,5.989027148,9.573433633
0,1,0,0,6.878186222,67.81898106
0,0,1,0,9.369908547,17.60861962
1,0,0,1,9.800475438,7.354449646
0,1,0,1,5.757081559,17.45932767
0,0,1,1,5.249695842,17.25939133
1,0,0,0,6.197397108,6.515672549
0,1,0,0,8.863653393,91.77881717
0,0,1,0,6.263117355,14.24013828
1,0,0,1,9.223553656,5.894955656
0,1,0,1,9.047551444,19.10710554
0,0,1,1,6.031788645,19.76699932
1,0,0,0,8.164295703,8.607272554
0,1,0,0,7.298671724,77.93524488
0,0,1,0,7.342453143,14.40597116
1,0,0,1,8.40531595,7.21345336
0,1,0,1,9.780261849,21.29867436
0,0,1,1,9.683582624,23.54088799
1,0,0,0,6.80500646,6.832597422
0,1,0,0,6.003487927,56.83996451
0,0,1,0,9.761458273,17.4767404
1,0,0,1,7.663236261,6.688684595
0,1,0,1,5.157572782,17.65594255
0,0,1,1,5.694250245,14.38337484
1,0,0,0,5.170324686,2.172859082
0,1,0,0,9.100949681,99.91175316
0,0,1,0,6.220568092,15.38784043
1,0,0,1,8.291144477,5.699832403
0,1,0,1,7.514763912,21.62404333
0,0,1,1,7.335486194,15.94687421
1,0,0,0,5.55410931,6.378096711
0,1,0,0,5.387801565,42.72711341
0,0,1,0,7.134626665,10.41252677
1,0,0,1,8.775714104,6.800071379
0,1,0,1,6.641921186,24.71097469
0,0,1,1,8.223840028,18.60531521
1,0,0,0,9.73742784,6.855022562
0,1,0,0,9.970447991,121.3613583
0,0,1,0,8.758572555,16.93356596
1,0,0,1,5.216827338,6.248762936
0,1,0,1,6.582881766,22.05481421
0,0,1,1,9.990997923,25.43936554
1,0,0,0,9.35984251,4.213332626
0,1,0,0,6.903610223,68.51544433
