Animal,isDark,t,weight
Cat,1,8.085025834,7.780470725
Unicorn,1,9.510545876,22.81791712
Werewolf,1,5.017713677,14.10907111
Cat,0,7.105495111,4.939081454
Unicorn,0,9.548665006,111.0594036
Werewolf,0,6.348022703,14.86896361
Cat,1,5.934531678,7.58074956
Unicorn,1,8.591105971,24.15262915
Werewolf,1,8.04947523,19.50224821
Cat,0,8.825415998,5.934387567
Unicorn,0,6.026917942,57.77589755
Werewolf,0,7.549271237,15.34724234
Cat,1,9.716641147,5.550083678
Unicorn,1,9.140385463,17.30096668
Werewolf,1,7.329194591,17.60325703
Cat,0,5.989027148,9.573433633
Unicorn,0,6.878186222,67.81898106
Werewolf,0,9.369908547,17.60861962
Cat,1,9.800475438,7.354449646
Unicorn,1,5.757081559,17.45932767
Werewolf,1,5.249695842,17.25939133
Cat,0,6.197397108,6.515672549
Unicorn,0,8.863653393,91.77881717
Werewolf,0,6.263117355,14.24013828
Cat,1,9.223553656,5.894955656
Unicorn,1,9.047551444,19.10710554
Werewolf,1,6.031788645,19.76699932
Cat,0,8.164295703,8.607272554
Unicorn,0,7.298671724,77.93524488
Werewolf,0,7.342453143,14.40597116
Cat,1,8.40531595,7.21345336
Unicorn,1,9.780261849,21.29867436
Werewolf,1,9.683582624,23.54088799
Cat,0,6.80500646,6.832597422
Unicorn,0,6.003487927,56.83996451
Werewolf,0,9.761458273,17.4767404
Cat,1,7.663236261,6.688684595
Unicorn,1,5.157572782,17.65594255
Werewolf,1,5.694250245,14.38337484
Cat,0,5.170324686,2.172859082
Unicorn,0,9.100949681,99.91175316
Werewolf,0,6.220568092,15.38784043
Cat,1,8.291144477,5.699832403
Unicorn,1,7.514763912,21.62404333
Werewolf,1,7.335486194,15.94687421
Cat,0,5.55410931,6.378096711
Unicorn,0,5.387801565,42.72711341
Werewolf,0,7.134626665,10.41252677
Cat,1,8.775714104,6.800071379
Unicorn,1,6.641921186,24.71097469
Werewolf,1,8.223840028,18.60531521
Cat,0,9.73742784,6.855022562
Unicorn,0,9.970447991,121.3613583
Werewolf,0,8.758572555,16.93356596
Cat,1,5.216827338,6.248762936
Unicorn,1,6.582881766,22.05481421
Werewolf,1,9.990997923,25.43936554
Cat,0,9.35984251,4.213332626
Unicorn,0,6.903610223,68.51544433
Werewolf,0,6.42331712,17.73870401
Cat,1,8.457505565,6.54856489
Unicorn,1,6.021873249,16.60075525
Werewolf,1,5.892735738,23.87747602
Cat,0,9.683582582,5.619026419
Unicorn,0,9.156653797,106.8896847
Werewolf,0,5.431555299,18.28031971
Cat,1,7.508761678,8.233577187
Unicorn,1,6.473070822,21.53847138
Werewolf,1,7.589844837,22.74531139
Cat,0,5.323148103,5.158393133
Unicorn,0,9.777815785,115.4863579
Werewolf,0,9.677257433,9.97347064
Cat,1,6.67903231,5.567513497
Unicorn,1,5.377980839,18.46269046
Werewolf,1,7.138538822,17.36717072
Cat,0,6.06848156,7.899947806
Unicorn,0,5.513477946,45.68659769
Werewolf,0,8.794799701,20.48737248
Cat,1,7.548020365,5.151200938
Unicorn,1,6.551070048,18.70240862
Werewolf,1,5.9748836,21.27974162
Cat,0,8.343910219,7.42257998
Unicorn,0,6.01737118,54.37412485
Werewolf,0,5.205399806,14.88981109
Cat,1,6.699873842,9.438699255
Unicorn,1,7.901142168,16.99934979
Werewolf,1,9.47162699,28.54094191
Cat,0,9.243051549,10.325985
Unicorn,0,5.170296241,44.87570748
Werewolf,0,7.005985479,16.77352175
Cat,1,7.681299541,5.209138211
Unicorn,1,8.16522912,21.33247412
Werewolf,1,9.994739229,22.57966134
Cat,0,7.592373355,5.49378936
Unicorn,0,7.549604312,77.80903747
Werewolf,0,8.176410622,16.52217377
Cat,1,7.34714475,10.26807572
Unicorn,1,8.122680863,16.84637064
Werewolf,1,7.369930771,15.97885246
Cat,0,9.282577288,5.994004495
Unicorn,0,5.639827402,51.91515913
Werewolf,0,8.684555465,13.29911234
Cat,1,6.969541648,6.980422643
Unicorn,1,8.618142099,18.45955884
Werewolf,1,6.067014039,18.10089017
Cat,0,8.770073059,5.214303981
Unicorn,0,7.35220113,73.64947806
Werewolf,0,5.998885703,16.0002293
Cat,1,5.869660678,7.644675533
Unicorn,1,7.894447549,18.43541696
Werewolf,1,5.813779535,21.2698802
Cat,0,8.980857228,9.459570671
Unicorn,0,8.729179328,99.65357546
Werewolf,0,8.178074249,17.37552854
Cat,1,5.467034383,3.745847361
Unicorn,1,6.531040486,20.21195085
Werewolf,1,7.274793066,16.22570412
Cat,0,7.881592776,6.707619448
Unicorn,0,5.543695068,46.34380491
Werewolf,0,6.738072001,20.34324358
Cat,1,7.713041328,3.619150697
Unicorn,1,5.735019661,14.29610645
Werewolf,1,9.087813133,23.91307522
Cat,0,6.795493776,4.7331042
Unicorn,0,9.255477723,106.0347248
Werewolf,0,6.589322617,14.51323225
Cat,1,7.6440621,7.641535488
Unicorn,1,5.290816678,14.95660254
Werewolf,1,7.7398004,20.98022183
Cat,0,7.884338241,8.494701825
Unicorn,0,6.535453358,60.45737446
Werewolf,0,5.528909178,11.97862818
Cat,1,6.04957551,5.193225561
Unicorn,1,6.218009349,16.6875809
Werewolf,1,9.425995096,19.35100444
Cat,0,8.282731984,8.192523968
Unicorn,0,7.428413808,72.32179412
Werewolf,0,9.108395905,21.79376114
Cat,1,6.133096008,6.951294552
Unicorn,1,8.249132713,22.17206765
Werewolf,1,9.010332768,19.27488148
Cat,0,5.831670456,7.908188594
Unicorn,0,9.187403634,106.5853729
Werewolf,0,8.201248616,16.6792165
Cat,1,6.417406235,8.751020089
Unicorn,1,8.589912551,23.54915239
Werewolf,1,9.987516215,23.87560808
Cat,0,5.446496539,7.927829718
Unicorn,0,7.106607395,75.80217043
Werewolf,0,6.508209656,13.45844282
Cat,1,8.917474178,5.787990227
Unicorn,1,5.19779034,18.98824017
Werewolf,1,5.226676274,16.58943228
Cat,0,7.06881939,8.460306526
Unicorn,0,7.976247424,83.83544394
Werewolf,0,8.274774189,16.83310495
Cat,1,6.128489877,8.544255086
Unicorn,1,8.911395574,20.35258014
Werewolf,1,6.025422297,18.32535084
Cat,0,9.943150603,6.000065184
Unicorn,0,7.706365635,81.05318463
Werewolf,0,9.647009687,20.24949828
Cat,1,5.778707327,5.101643133
Unicorn,1,8.063153387,23.37852835
Werewolf,1,7.526818548,20.09316459
Cat,0,6.64220206,7.337499019
Unicorn,0,9.939281349,120.2129719
Werewolf,0,5.715567109,15.00253882
Cat,1,6.468735375,4.030541234
Unicorn,1,7.695742044,19.47337513
Werewolf,1,9.620491282,19.99310534
Cat,0,8.130699893,6.456720678
Unicorn,0,7.951961881,88.84109968
